# look at the index of the primary star to choose which one you want to analyze

primary secondary F275W F336W
22 0 16.6046 15.1867
22 1 16.6032 15.1842
22 2 16.5972 15.1778
22 3 16.5804 15.1649
22 4 16.5447 15.1439
22 5 16.4983 15.1141
22 6 16.4774 15.0993
22 7 16.4772 15.0935
22 8 16.5161 15.1069
22 9 16.5358 15.1037
22 10 16.5147 15.0685
22 11 16.4814 15.0212
22 12 16.4488 14.9625
22 13 16.4229 14.8878
22 14 16.3984 14.8088
22 15 16.3820 14.7272
22 16 16.4181 14.6752
22 17 16.4305 14.6326
22 18 16.4526 14.5902
22 19 16.4664 14.6178
22 20 16.4770 14.6701
22 21 16.4896 14.7135
22 22 15.8524 14.4354
22 23 16.0079 14.4805
22 24 16.1309 14.5281
23 0 16.9414 15.2786
23 1 16.9395 15.2759
23 2 16.9314 15.2689
23 3 16.9086 15.2548
23 4 16.8606 15.2321
23 5 16.7989 15.1998
23 6 16.7715 15.1838
23 7 16.7712 15.1775
23 8 16.8224 15.1920
23 9 16.8486 15.1885
23 10 16.8207 15.1506
23 11 16.7768 15.0996
23 12 16.7342 15.0366
23 13 16.7006 14.9568
23 14 16.6691 14.8728
23 15 16.6480 14.7865
23 16 16.6944 14.7316
23 17 16.7104 14.6869
23 18 16.7390 14.6423
23 19 16.7571 14.6712
23 20 16.7710 14.7263
23 21 16.7874 14.7720
23 22 16.0079 14.4805
23 23 16.1894 14.5274
23 24 16.3364 14.5772
24 0 17.2582 15.3805
24 1 17.2557 15.3775
24 2 17.2448 15.3699
24 3 17.2145 15.3544
24 4 17.1513 15.3295
24 5 17.0714 15.2942
24 6 17.0362 15.2768
24 7 17.0358 15.2699
24 8 17.1017 15.2857
24 9 17.1357 15.2819
24 10 17.0994 15.2406
24 11 17.0430 15.1853
24 12 16.9888 15.1173
24 13 16.9466 15.0317
24 14 16.9072 14.9419
24 15 16.8811 14.8501
24 16 16.9388 14.7920
24 17 16.9588 14.7448
24 18 16.9950 14.6978
24 19 17.0179 14.7283
24 20 17.0356 14.7864
24 21 17.0566 14.8348
24 22 16.1309 14.5281
24 23 16.3364 14.5772
24 24 16.5064 14.6294
