# look at the index of the primary star to choose which one you want to analyze

primary secondary F606W F814W
22 0 13.8186 13.1568
22 1 13.8166 13.1550
22 2 13.8133 13.1521
22 3 13.8079 13.1475
22 4 13.7994 13.1402
22 5 13.7863 13.1288
22 6 13.7776 13.1209
22 7 13.7680 13.1110
22 8 13.7634 13.1040
22 9 13.7456 13.0834
22 10 13.7062 13.0410
22 11 13.6456 12.9769
22 12 13.5595 12.8826
22 13 13.4376 12.7481
22 14 13.2726 12.5642
22 15 13.0618 12.3245
22 16 12.8161 12.0280
22 17 12.5237 11.6794
22 18 12.1971 11.2870
22 19 11.8592 10.8608
22 20 11.5213 10.4101
22 21 11.2493 9.9424
22 22 13.0686 12.4074
22 23 13.0808 12.3974
22 24 13.0838 12.3872
23 0 13.8431 13.1369
23 1 13.8410 13.1351
23 2 13.8376 13.1322
23 3 13.8321 13.1277
23 4 13.8234 13.1206
23 5 13.8100 13.1094
23 6 13.8011 13.1016
23 7 13.7913 13.0919
23 8 13.7866 13.0850
23 9 13.7684 13.0647
23 10 13.7282 13.0230
23 11 13.6664 12.9600
23 12 13.5787 12.8671
23 13 13.4547 12.7344
23 14 13.2873 12.5526
23 15 13.0739 12.3152
23 16 12.8258 12.0209
23 17 12.5311 11.6742
23 18 12.2025 11.2834
23 19 11.8631 10.8584
23 20 11.5242 10.4085
23 21 11.2516 9.9414
23 22 13.0808 12.3974
23 23 13.0931 12.3874
23 24 13.0961 12.3774
24 0 13.8491 13.1170
24 1 13.8470 13.1152
24 2 13.8436 13.1124
24 3 13.8380 13.1079
24 4 13.8293 13.1009
24 5 13.8158 13.0900
24 6 13.8069 13.0823
24 7 13.7970 13.0728
24 8 13.7923 13.0659
24 9 13.7740 13.0461
24 10 13.7336 13.0050
24 11 13.6714 12.9430
24 12 13.5834 12.8515
24 13 13.4589 12.7206
24 14 13.2909 12.5409
24 15 13.0769 12.3058
24 16 12.8281 12.0138
24 17 12.5329 11.6690
24 18 12.2038 11.2797
24 19 11.8641 10.8559
24 20 11.5249 10.4069
24 21 11.2521 9.9403
24 22 13.0838 12.3872
24 23 13.0961 12.3774
24 24 13.0991 12.3674
