primary secondary F275W F336W
9 0 19.5521 17.9040
9 1 19.5317 17.8737
9 2 19.4463 17.8002
9 3 19.2349 17.6632
9 4 18.8807 17.4703
9 5 18.5345 17.2390
9 6 18.4051 17.1385
9 7 18.4037 17.1007
9 8 18.6563 17.1888
9 9 18.8062 17.1672
9 10 18.6467 16.9513
9 11 18.4291 16.7069
9 12 18.2464 16.4538
9 13 18.1171 16.1848
9 14 18.0052 15.9431
9 15 17.9348 15.7256
9 16 18.0943 15.5996
9 17 18.1536 15.5024
9 18 18.2660 15.4100
9 19 18.3417 15.4695
9 20 18.4029 15.5877
9 21 18.4788 15.6915
9 22 16.5358 15.1037
9 23 16.8486 15.1885
9 24 17.1357 15.2819
10 0 19.2551 17.5129
10 1 19.2396 17.4917
10 2 19.1737 17.4394
10 3 19.0058 17.3395
10 4 18.7107 17.1931
10 5 18.4084 17.0098
10 6 18.2924 16.9277
10 7 18.2911 16.8965
10 8 18.5160 16.9689
10 9 18.6467 16.9513
10 10 18.5076 16.7713
10 11 18.3140 16.5608
10 12 18.1483 16.3365
10 13 18.0297 16.0922
10 14 17.9259 15.8684
10 15 17.8604 15.6641
10 16 18.0086 15.5446
10 17 18.0632 15.4521
10 18 18.1663 15.3637
10 19 18.2351 15.4206
10 20 18.2904 15.5334
10 21 18.3586 15.6319
10 22 16.5147 15.0685
10 23 16.8207 15.1506
10 24 17.0994 15.2406
11 0 18.8986 17.1295
11 1 18.8874 17.1145
11 2 18.8394 17.0774
11 3 18.7135 17.0048
11 4 18.4812 16.8954
11 5 18.2303 16.7533
11 6 18.1311 16.6880
11 7 18.1300 16.6629
11 8 18.3210 16.7209
11 9 18.4291 16.7069
11 10 18.3140 16.5608
11 11 18.1497 16.3846
11 12 18.0058 16.1911
11 13 17.9011 15.9746
11 14 17.8085 15.7717
11 15 17.7495 15.5834
11 16 17.8824 15.4720
11 17 17.9309 15.3853
11 18 18.0216 15.3019
11 19 18.0816 15.3557
11 20 18.1294 15.4615
11 21 18.1880 15.5534
11 22 16.4814 15.0212
11 23 16.7768 15.0996
11 24 17.0430 15.1853
12 0 18.6285 16.7740
12 1 18.6198 16.7631
12 2 18.5821 16.7361
12 3 18.4816 16.6827
12 4 18.2902 16.6003
12 5 18.0761 16.4904
12 6 17.9895 16.4388
12 7 17.9886 16.4188
12 8 18.1544 16.4649
12 9 18.2464 16.4538
12 10 18.1483 16.3365
12 11 18.0058 16.1911
12 12 17.8788 16.0269
12 13 17.7852 15.8383
12 14 17.7016 15.6575
12 15 17.6480 15.4866
12 16 17.7683 15.3843
12 17 17.8119 15.3040
12 18 17.8928 15.2265
12 19 17.9459 15.2765
12 20 17.9881 15.3746
12 21 18.0393 15.4591
12 22 16.4488 14.9625
12 23 16.7342 15.0366
12 24 16.9888 15.1173
13 0 18.4491 16.4262
13 1 18.4417 16.4183
13 2 18.4096 16.3986
13 3 18.3233 16.3592
13 4 18.1560 16.2974
13 5 17.9647 16.2133
13 6 17.8863 16.1731
13 7 17.8854 16.1574
13 8 18.0351 16.1935
13 9 18.1171 16.1848
13 10 18.0297 16.0922
13 11 17.9011 15.9746
13 12 17.7852 15.8383
13 13 17.6989 15.6776
13 14 17.6215 15.5200
13 15 17.5716 15.3680
13 16 17.6834 15.2759
13 17 17.7236 15.2030
13 18 17.7980 15.1321
13 19 17.8465 15.1779
13 20 17.8849 15.2671
13 21 17.9314 15.3434
13 22 16.4229 14.8878
13 23 16.7006 14.9568
13 24 16.9466 15.0317
14 0 18.2997 16.1318
14 1 18.2932 16.1258
14 2 18.2652 16.1107
14 3 18.1893 16.0804
14 4 18.0401 16.0323
14 5 17.8668 15.9658
14 6 17.7949 15.9337
14 7 17.7941 15.9211
14 8 17.9309 15.9500
14 9 18.0052 15.9431
14 10 17.9259 15.8684
14 11 17.8085 15.7717
14 12 17.7016 15.6575
14 13 17.6215 15.5200
14 14 17.5492 15.3823
14 15 17.5025 15.2474
14 16 17.6070 15.1646
14 17 17.6444 15.0986
14 18 17.7134 15.0340
14 19 17.7583 15.0758
14 20 17.7936 15.1567
14 21 17.8363 15.2253
14 22 16.3984 14.8088
14 23 16.6691 14.8728
14 24 16.9072 14.9419
15 0 18.2084 15.8776
15 1 18.2024 15.8728
15 2 18.1766 15.8608
15 3 18.1064 15.8367
15 4 17.9676 15.7981
15 5 17.8046 15.7442
15 6 17.7366 15.7179
15 7 17.7359 15.7076
15 8 17.8651 15.7313
15 9 17.9348 15.7256
15 10 17.8604 15.6641
15 11 17.7495 15.5834
15 12 17.6480 15.4866
15 13 17.5716 15.3680
15 14 17.5025 15.2474
15 15 17.4577 15.1274
15 16 17.5578 15.0530
15 17 17.5935 14.9932
15 18 17.6593 14.9345
15 19 17.7019 14.9725
15 20 17.7354 15.0458
15 21 17.7758 15.1076
15 22 16.3820 14.7272
15 23 16.6480 14.7865
15 24 16.8811 14.8501
16 0 18.4182 15.7338
16 1 18.4110 15.7296
16 2 18.3798 15.7191
16 3 18.2958 15.6978
16 4 18.1324 15.6638
16 5 17.9449 15.6161
16 6 17.8678 15.5927
16 7 17.8670 15.5835
16 8 18.0139 15.6046
16 9 18.0943 15.5996
16 10 18.0086 15.5446
16 11 17.8824 15.4720
16 12 17.7683 15.3843
16 13 17.6834 15.2759
16 14 17.6070 15.1646
16 15 17.5578 15.0530
16 16 17.6680 14.9833
16 17 17.7077 14.9272
16 18 17.7809 14.8718
16 19 17.8287 14.9077
16 20 17.8665 14.9766
16 21 17.9122 15.0345
16 22 16.4181 14.6752
16 23 16.6944 14.7316
16 24 16.9388 14.7920
17 0 18.4989 15.6245
17 1 18.4911 15.6207
17 2 18.4575 15.6112
17 3 18.3675 15.5919
17 4 18.1938 15.5611
17 5 17.9963 15.5175
17 6 17.9156 15.4962
17 7 17.9148 15.4877
17 8 18.0688 15.5070
17 9 18.1536 15.5024
17 10 18.0632 15.4521
17 11 17.9309 15.3853
17 12 17.8119 15.3040
17 13 17.7236 15.2030
17 14 17.6444 15.0986
17 15 17.5935 14.9932
17 16 17.7077 14.9272
17 17 17.7488 14.8738
17 18 17.8250 14.8211
17 19 17.8748 14.8553
17 20 17.9143 14.9208
17 21 17.9620 14.9757
17 22 16.4305 14.6326
17 23 16.7104 14.6869
17 24 16.9588 14.7448
18 0 18.6566 15.5216
18 1 18.6476 15.5181
18 2 18.6089 15.5095
18 3 18.5060 15.4919
18 4 18.3107 15.4637
18 5 18.0929 15.4238
18 6 18.0050 15.4042
18 7 18.0041 15.3965
18 8 18.1724 15.4142
18 9 18.2660 15.4100
18 10 18.1663 15.3637
18 11 18.0216 15.3019
18 12 17.8928 15.2265
18 13 17.7980 15.1321
18 14 17.7134 15.0340
18 15 17.6593 14.9345
18 16 17.7809 14.8718
18 17 17.8250 14.8211
18 18 17.9069 14.7707
18 19 17.9608 14.8034
18 20 18.0035 14.8658
18 21 18.0555 14.9179
18 22 16.4526 14.5902
18 23 16.7390 14.6423
18 24 16.9950 14.6978
19 0 18.7667 15.5877
19 1 18.7568 15.5841
19 2 18.7141 15.5749
19 3 18.6013 15.5563
19 4 18.3897 15.5264
19 5 18.1571 15.4842
19 6 18.0641 15.4635
19 7 18.0631 15.4553
19 8 18.2416 15.4740
19 9 18.3417 15.4695
19 10 18.2351 15.4206
19 11 18.0816 15.3557
19 12 17.9459 15.2765
19 13 17.8465 15.1779
19 14 17.7583 15.0758
19 15 17.7019 14.9725
19 16 17.8287 14.9077
19 17 17.8748 14.8553
19 18 17.9608 14.8034
19 19 18.0174 14.8370
19 20 18.0625 14.9014
19 21 18.1174 14.9554
19 22 16.4664 14.6178
19 23 16.7571 14.6712
19 24 17.0179 14.7283
20 0 18.8586 15.7204
20 1 18.8478 15.7163
20 2 18.8014 15.7059
20 3 18.6796 15.6849
20 4 18.4537 15.6513
20 5 18.2085 15.6041
20 6 18.1112 15.5810
20 7 18.1101 15.5718
20 8 18.2973 15.5927
20 9 18.4029 15.5877
20 10 18.2904 15.5334
20 11 18.1294 15.4615
20 12 17.9881 15.3746
20 13 17.8849 15.2671
20 14 17.7936 15.1567
20 15 17.7354 15.0458
20 16 17.8665 14.9766
20 17 17.9143 14.9208
20 18 18.0035 14.8658
20 19 18.0625 14.9014
20 20 18.1095 14.9699
20 21 18.1670 15.0275
20 22 16.4770 14.6701
20 23 16.7710 14.7263
20 24 17.0356 14.7864
