primary secondary F606W F814W
9 0 16.6412 15.9576
9 1 16.6146 15.9336
9 2 16.5719 15.8965
9 3 16.5048 15.8403
9 4 16.4072 15.7567
9 5 16.2703 15.6361
9 6 16.1880 15.5589
9 7 16.1024 15.4689
9 8 16.0638 15.4084
9 9 15.9238 15.2474
9 10 15.6600 14.9689
9 11 15.3364 14.6361
9 12 14.9779 14.2567
9 13 14.5827 13.8403
9 14 14.1636 13.3965
9 15 13.7329 12.9336
9 16 13.3138 12.4576
9 17 12.8817 11.9731
9 18 12.4501 11.4829
9 19 12.0385 10.9892
9 20 11.6498 10.4932
9 21 11.3479 9.9957
9 22 13.7456 13.0834
9 23 13.7684 13.0647
9 24 13.7740 13.0461
10 0 16.1777 15.4731
10 1 16.1602 15.4576
10 2 16.1319 15.4336
10 3 16.0868 15.3965
10 4 16.0194 15.3403
10 5 15.9219 15.2567
10 6 15.8615 15.2017
10 7 15.7975 15.1361
10 8 15.7683 15.0913
10 9 15.6600 14.9689
10 10 15.4479 14.7474
10 11 15.1751 14.4689
10 12 14.8596 14.1361
10 13 14.4992 13.7567
10 14 14.1061 13.3403
10 15 13.6939 12.8965
10 16 13.2871 12.4336
10 17 12.8638 11.9576
10 18 12.4380 11.4731
10 19 12.0302 10.9829
10 20 11.6439 10.4892
10 21 11.3435 9.9932
10 22 13.7062 13.0410
10 23 13.7282 13.0230
10 24 13.7336 13.0050
11 0 15.6953 14.9829
11 1 15.6841 14.9731
11 2 15.6658 14.9576
11 3 15.6361 14.9336
11 4 15.5912 14.8965
11 5 15.5245 14.8403
11 6 15.4823 14.8025
11 7 15.4367 14.7567
11 8 15.4157 14.7249
11 9 15.3364 14.6361
11 10 15.1751 14.4689
11 11 14.9573 14.2474
11 12 14.6927 13.9689
11 13 14.3769 13.6361
11 14 14.0196 13.2567
11 15 13.6340 12.8403
11 16 13.2456 12.3965
11 17 12.8354 11.9336
11 18 12.4188 11.4576
11 19 12.0170 10.9731
11 20 11.6347 10.4829
11 21 11.3365 9.9892
11 22 13.6456 12.9769
11 23 13.6664 12.9600
11 24 13.6714 12.9430
12 0 15.2233 14.4892
12 1 15.2160 14.4829
12 2 15.2040 14.4731
12 3 15.1846 14.4576
12 4 15.1548 14.4336
12 5 15.1097 14.3965
12 6 15.0807 14.3713
12 7 15.0490 14.3403
12 8 15.0343 14.3185
12 9 14.9779 14.2567
12 10 14.8596 14.1361
12 11 14.6927 13.9689
12 12 14.4801 13.7474
12 13 14.2142 13.4689
12 14 13.9001 13.1361
12 15 13.5488 12.7567
12 16 13.1853 12.3403
12 17 12.7938 11.8965
12 18 12.3903 11.4336
12 19 11.9972 10.9576
12 20 11.6207 10.4731
12 21 11.3259 9.9829
12 22 13.5595 12.8826
12 23 13.5787 12.8671
12 24 13.5834 12.8515
13 0 14.7472 13.9932
13 1 14.7425 13.9892
13 2 14.7348 13.9829
13 3 14.7221 13.9731
13 4 14.7025 13.9576
13 5 14.6726 13.9336
13 6 14.6531 13.9170
13 7 14.6317 13.8965
13 8 14.6216 13.8820
13 9 14.5827 13.8403
13 10 14.4992 13.7567
13 11 14.3769 13.6361
13 12 14.2142 13.4689
13 13 14.0007 13.2474
13 14 13.7364 12.9689
13 15 13.4280 12.6361
13 16 13.0975 12.2567
13 17 12.7318 11.8403
13 18 12.3472 11.3965
13 19 11.9670 10.9336
13 20 11.5993 10.4576
13 21 11.3095 9.9731
13 22 13.4376 12.7481
13 23 13.4547 12.7344
13 24 13.4589 12.7206
14 0 14.2727 13.4957
14 1 14.2697 13.4932
14 2 14.2646 13.4892
14 3 14.2564 13.4829
14 4 14.2436 13.4731
14 5 14.2239 13.4576
14 6 14.2110 13.4469
14 7 14.1967 13.4336
14 8 14.1899 13.4241
14 9 14.1636 13.3965
14 10 14.1061 13.3403
14 11 14.0196 13.2567
14 12 13.9001 13.1361
14 13 13.7364 12.9689
14 14 13.5240 12.7474
14 15 13.2644 12.4689
14 16 12.9745 12.1361
14 17 12.6426 11.7567
14 18 12.2838 11.3403
14 19 11.9220 10.8965
14 20 11.5670 10.4336
14 21 11.2847 9.9576
14 22 13.2726 12.5642
14 23 13.2873 12.5526
14 24 13.2909 12.5409
15 0 13.8051 12.9973
15 1 13.8031 12.9957
15 2 13.7998 12.9932
15 3 13.7944 12.9892
15 4 13.7861 12.9829
15 5 13.7731 12.9731
15 6 13.7646 12.9662
15 7 13.7550 12.9576
15 8 13.7505 12.9515
15 9 13.7329 12.9336
15 10 13.6939 12.8965
15 11 13.6340 12.8403
15 12 13.5488 12.7567
15 13 13.4280 12.6361
15 14 13.2644 12.4689
15 15 13.0550 12.2474
15 16 12.8107 11.9689
15 17 12.5196 11.6361
15 18 12.1940 11.2567
15 19 11.8569 10.8403
15 20 11.5197 10.3965
15 21 11.2480 9.9336
15 22 13.0618 12.3245
15 23 13.0739 12.3152
15 24 13.0769 12.3058
16 0 13.3623 12.4983
16 1 13.3610 12.4973
16 2 13.3588 12.4957
16 3 13.3552 12.4932
16 4 13.3496 12.4892
16 5 13.3409 12.4829
16 6 13.3352 12.4786
16 7 13.3288 12.4731
16 8 13.3257 12.4691
16 9 13.3138 12.4576
16 10 13.2871 12.4336
16 11 13.2456 12.3965
16 12 13.1853 12.3403
16 13 13.0975 12.2567
16 14 12.9745 12.1361
16 15 12.8107 11.9689
16 16 12.6114 11.7474
16 17 12.3640 11.4689
16 18 12.0766 11.1361
16 19 11.7696 10.7567
16 20 11.4550 10.3403
16 21 11.1974 9.8965
16 22 12.8161 12.0280
16 23 12.8258 12.0209
16 24 12.8281 12.0138
17 0 12.9141 11.9989
17 1 12.9132 11.9983
17 2 12.9118 11.9973
17 3 12.9094 11.9957
17 4 12.9057 11.9932
17 5 12.8999 11.9892
17 6 12.8961 11.9864
17 7 12.8918 11.9829
17 8 12.8897 11.9804
17 9 12.8817 11.9731
17 10 12.8638 11.9576
17 11 12.8354 11.9336
17 12 12.7938 11.8965
17 13 12.7318 11.8403
17 14 12.6426 11.7567
17 15 12.5196 11.6361
17 16 12.3640 11.4689
17 17 12.1626 11.2474
17 18 11.9189 10.9689
17 19 11.6486 10.6361
17 20 11.3632 10.2567
17 21 11.1243 9.8403
17 22 12.5237 11.6794
17 23 12.5311 11.6742
17 24 12.5329 11.6690
18 0 12.4718 11.4993
18 1 12.4712 11.4989
18 2 12.4702 11.4983
18 3 12.4686 11.4973
18 4 12.4662 11.4957
18 5 12.4623 11.4932
18 6 12.4597 11.4914
18 7 12.4569 11.4892
18 8 12.4555 11.4876
18 9 12.4501 11.4829
18 10 12.4380 11.4731
18 11 12.4188 11.4576
18 12 12.3903 11.4336
18 13 12.3472 11.3965
18 14 12.2838 11.3403
18 15 12.1940 11.2567
18 16 12.0766 11.1361
18 17 11.9189 10.9689
18 18 11.7199 10.7474
18 19 11.4905 10.4689
18 20 11.2397 10.1361
18 21 11.0241 9.7567
18 22 12.1971 11.2870
18 23 12.2025 11.2834
18 24 12.2038 11.2797
19 0 12.0533 10.9996
19 1 12.0529 10.9993
19 2 12.0522 10.9989
19 3 12.0512 10.9983
19 4 12.0495 10.9973
19 5 12.0469 10.9957
19 6 12.0451 10.9946
19 7 12.0431 10.9932
19 8 12.0422 10.9922
19 9 12.0385 10.9892
19 10 12.0302 10.9829
19 11 12.0170 10.9731
19 12 11.9972 10.9576
19 13 11.9670 10.9336
19 14 11.9220 10.8965
19 15 11.8569 10.8403
19 16 11.7696 10.7567
19 17 11.6486 10.6361
19 18 11.4905 10.4689
19 19 11.3012 10.2474
19 20 11.0868 9.9689
19 21 10.8972 9.6361
19 22 11.8592 10.8608
19 23 11.8631 10.8584
19 24 11.8641 10.8559
20 0 11.6600 10.4997
20 1 11.6598 10.4996
20 2 11.6593 10.4993
20 3 11.6586 10.4989
20 4 11.6574 10.4983
20 5 11.6556 10.4973
20 6 11.6543 10.4966
20 7 11.6530 10.4957
20 8 11.6523 10.4950
