# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Fri Mar 21 09:55:47 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: HST/ACS WFC - updated filters and zeropoints, 2021
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.0054091 -0.45000 9.95424 0.0900000036 1.0816895926    0.090 -3.335  3.4016  5.286    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.41e-17      0.00 7.349e-01 2.596e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.489e-03 13.107 19.859 18.699 17.868 16.890 16.567 13.572 13.131
0.0054091 -0.45000 9.95424 0.1000000015 1.1711064122    0.100 -3.127  3.4317  5.243    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -7.1e-17      0.00 7.344e-01 2.601e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.489e-03 12.587 18.740 17.684 16.844 15.939 15.612 12.886 12.492
0.0054091 -0.45000 9.95424 0.1199999973 1.3193154249    0.120 -2.861  3.4635  5.184    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.28e-16      0.00 7.334e-01 2.611e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.489e-03 11.923 16.943 16.066 15.220 14.455 14.126 11.908 11.602
0.0054091 -0.45000 9.95424 0.1354725212 1.4135060406    0.135 -2.715  3.4789  5.152    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.75e-16      0.00 7.327e-01 2.618e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.488e-03 11.558 16.091 15.284 14.430 13.722 13.390 11.418 11.148
0.0054091 -0.45000 9.95424 0.1400000006 1.4384526719    0.140 -2.676  3.4831  5.144    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.9e-16      0.00 7.325e-01 2.620e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.489e-03 11.459 15.867 15.077 14.220 13.526 13.192 11.288 11.027
0.0054091 -0.45000 9.95424 0.1447592527 1.4635701885    0.145 -2.640  3.4864  5.136    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.05e-16      0.00 7.323e-01 2.622e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.489e-03 11.369 15.680 14.903 14.043 13.358 13.024 11.174 10.921
0.0054091 -0.45000 9.95424 0.1599999964 1.5372931554    0.160 -2.533  3.4962  5.112    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.56e-16      0.00 7.316e-01 2.629e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.489e-03 11.102 15.142 14.400 13.539 12.882 12.545 10.841 10.608
0.0054091 -0.45000 9.95424 0.1999999881 1.6938790356    0.200 -2.312  3.5142  5.060    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.05e-16      0.00 7.304e-01 2.641e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.489e-03 10.549 14.159 13.471 12.616 11.999 11.659 10.191 9.989
0.0054091 -0.45000 9.95424 0.2500000000 1.8403257998    0.250 -2.101  3.5286  5.003    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.86e-16      0.00 7.296e-01 2.650e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.488e-03 10.022 13.336 12.686 11.847 11.254 10.914 9.603 9.421
0.0054091 -0.45000 9.95424 0.3000000119 1.9529139769    0.300 -1.938  3.5384  4.958    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.59e-16      0.00 7.294e-01 2.651e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.489e-03 9.614 12.754 12.128 11.303 10.724 10.385 9.161 8.991
