# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Tue Feb 11 16:15:35 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: HST/ACS WFC - updated filters and zeropoints, 2021
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
 Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.0048313 -0.50000 10.07918 0.0900000036 1.0816895926    0.090 -3.324  3.4060  5.292    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.49e-17      0.00 7.359e-01 2.592e-01 8.868e-04 2.392e-04 2.170e-03 -1.000 4.931e-03 13.080 19.838 18.663 17.823 16.842 16.516 13.514 13.074
0.0048313 -0.50000 10.07918 0.1000000015 1.1711064122    0.100 -3.115  3.4359  5.248    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.26e-17      0.00 7.351e-01 2.600e-01 8.868e-04 2.392e-04 2.170e-03 -1.000 4.931e-03 12.557 18.570 17.526 16.679 15.790 15.460 12.789 12.408
0.0048313 -0.50000 10.07918 0.1172306314 1.3007849489    0.117 -2.881  3.4640  5.196    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-16      0.00 7.338e-01 2.612e-01 8.868e-04 2.392e-04 2.170e-03 -1.000 4.931e-03 11.973 16.989 16.105 15.249 14.482 14.150 11.938 11.634
0.0048313 -0.50000 10.07918 0.1199999973 1.3193154249    0.120 -2.847  3.4682  5.188    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-16      0.00 7.336e-01 2.614e-01 8.868e-04 2.392e-04 2.170e-03 -1.000 4.931e-03 11.887 16.768 15.905 15.046 14.295 13.962 11.818 11.524
0.0048313 -0.50000 10.07918 0.1400000006 1.4384526719    0.140 -2.661  3.4876  5.147    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.78e-16      0.00 7.324e-01 2.626e-01 8.868e-04 2.392e-04 2.170e-03 -1.000 4.931e-03 11.422 15.707 14.928 14.056 13.372 13.035 11.207 10.957
0.0048313 -0.50000 10.07918 0.1599999964 1.5372931554    0.160 -2.517  3.5008  5.114    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.65e-16      0.00 7.313e-01 2.637e-01 8.868e-04 2.392e-04 2.170e-03 -1.000 4.931e-03 11.063 14.994 14.263 13.391 12.744 12.404 10.767 10.542
0.0048313 -0.50000 10.07918 0.1999999881 1.6938790356    0.200 -2.293  3.5186  5.058    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.23e-16      0.00 7.298e-01 2.653e-01 8.868e-04 2.393e-04 2.170e-03 -1.000 4.931e-03 10.502 14.017 13.338 12.477 11.865 11.523 10.116 9.921
0.0048313 -0.50000 10.07918 0.2500000000 1.8403257998    0.250 -2.081  3.5325  4.999    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.4e-18      0.00 7.290e-01 2.661e-01 8.868e-04 2.393e-04 2.170e-03 -1.000 4.931e-03 9.972 13.211 12.570 11.729 11.140 10.798 9.533 9.357
0.0048313 -0.50000 10.07918 0.3000000119 1.9529139769    0.300 -1.918  3.5421  4.953    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.99e-17      0.00 7.289e-01 2.661e-01 8.868e-04 2.393e-04 2.170e-03 -1.000 4.931e-03 9.566 12.639 12.021 11.196 10.619 10.278 9.096 8.931
0.0048313 -0.50000 10.07918 0.3499999642 2.0434174156    0.350 -1.777  3.5503  4.913    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.26e-18      0.00 7.373e-01 2.577e-01 8.868e-04 2.392e-04 2.170e-03 -1.000 4.931e-03 9.214 12.154 11.553 10.742 10.174 9.834 8.720 8.565
0.0048313 -0.50000 10.07918 0.3999999762 2.1185023988    0.400 -1.623  3.5619  4.863    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.75e-15      0.00 7.376e-01 2.575e-01 8.868e-04 2.392e-04 2.170e-03 -1.000 4.931e-03 8.828 11.596 11.016 10.221 9.664 9.325 8.306 8.163
0.0048313 -0.50000 10.07918 0.4499999881 2.1822809009    0.450 -1.453  3.5770  4.804    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.62e-15      0.00 7.376e-01 2.575e-01 8.868e-04 2.392e-04 2.170e-03 -1.000 4.931e-03 8.403 10.968 10.411 9.640 9.096 8.759 7.850 7.722
0.0048313 -0.50000 10.07918 0.4999999404 2.2374540715    0.500 -1.268  3.5976  4.748    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.05e-15      0.00 7.376e-01 2.575e-01 8.868e-04 2.392e-04 2.170e-03 -1.000 4.931e-03 7.941 10.251 9.727 8.993 8.474 8.143 7.355 7.244
0.0048313 -0.50000 10.07918 0.5213494897 2.2584302768    0.521 -1.175  3.6104  4.724    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.05e-15      0.00 7.516e-01 2.437e-01 8.430e-04 2.275e-04 2.064e-03 -1.000 4.695e-03 7.708 9.864 9.365 8.660 8.161 7.837 7.108 7.005
0.0048313 -0.50000 10.07918 0.5500000119 2.2836582633    0.550 -1.057  3.6266  4.693    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -6.69e-15      0.00 7.691e-01 2.265e-01 7.886e-04 2.129e-04 1.932e-03 -1.000 4.405e-03 7.412 9.370 8.904 8.241 7.773 7.461 6.799 6.706
0.0048313 -0.50000 10.07918 0.5999999642 2.3211212854    0.600 -0.856  3.6591  4.661    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-14      0.00 7.740e-01 2.217e-01 7.745e-04 2.092e-04 1.898e-03 -1.000 4.293e-03 6.911 8.430 8.034 7.471 7.083 6.806 6.270 6.195
0.0048313 -0.50000 10.07918 0.6137365699 2.3301924351    0.613 -0.800  3.6687  4.653    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-14      0.00 7.753e-01 2.204e-01 7.707e-04 2.081e-04 1.889e-03 -1.000 4.284e-03 6.770 8.175 7.794 7.259 6.895 6.630 6.122 6.052
0.0048313 -0.50000 10.07918 0.6499999166 2.3520352771    0.650 -0.655  3.6932  4.631    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.66e-14      0.00 7.788e-01 2.169e-01 7.606e-04 2.055e-04 1.866e-03 -1.000 4.260e-03 6.409 7.566 7.217 6.744 6.434 6.200 5.747 5.687
0.0048313 -0.50000 10.07918 0.6566753387 2.3557549620    0.657 -0.629  3.6973  4.626    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.77e-14      0.00 7.796e-01 2.161e-01 7.582e-04 2.048e-04 1.860e-03 -1.000 4.234e-03 6.343 7.465 7.121 6.657 6.355 6.126 5.681 5.622
0.0048313 -0.50000 10.07918 0.6698004007 2.3628205034    0.670 -0.578  3.7053  4.614    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1    -2e-14      0.00 7.812e-01 2.146e-01 7.534e-04 2.035e-04 1.848e-03 -1.000 4.212e-03 6.214 7.270 6.936 6.489 6.203 5.983 5.552 5.496
0.0048313 -0.50000 10.07918 0.6825142503 2.3693675511    0.682 -0.527  3.7128  4.603    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.97e-14      0.00 7.828e-01 2.130e-01 7.486e-04 2.023e-04 1.837e-03 -1.000 4.191e-03 6.089 7.085 6.762 6.331 6.058 5.846 5.429 5.376
0.0048313 -0.50000 10.07918 0.6943415999 2.3752111876    0.694 -0.481  3.7198  4.591    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1  -4.1e-15      0.00 7.843e-01 2.116e-01 7.442e-04 2.011e-04 1.827e-03 -1.000 4.181e-03 5.972 6.917 6.603 6.187 5.924 5.720 5.315 5.264
0.0048313 -0.50000 10.07918 0.6999999881 2.3779266974    0.700 -0.458  3.7230  4.585    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.66e-14      0.00 7.850e-01 2.109e-01 7.420e-04 2.005e-04 1.821e-03 -1.000 4.168e-03 5.916 6.839 6.530 6.119 5.862 5.661 5.261 5.211
0.0048313 -0.50000 10.07918 0.7102496028 2.3827191135    0.710 -0.417  3.7288  4.574    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -2.94e-14      0.00 7.865e-01 2.094e-01 7.357e-04 1.994e-04 1.811e-03 -1.000 4.105e-03 5.812 6.696 6.396 5.996 5.747 5.552 5.161 5.113
0.0048313 -0.50000 10.07918 0.7206848860 2.3874376437    0.720 -0.374  3.7346  4.560    1  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1 -3.27e-14      0.00 7.880e-01 2.079e-01 7.292e-04 1.982e-04 1.801e-03 -1.000 4.092e-03 5.706 6.553 6.261 5.873 5.632 5.441 5.060 5.013
0.0048313 -0.50000 10.07918 0.7308945060 2.3919044965    0.731 -0.332  3.7401  4.547    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.64e-14      0.00 7.895e-01 2.065e-01 7.230e-04 1.969e-04 1.791e-03 -1.000 4.075e-03 5.601 6.413 6.130 5.752 5.519 5.333 4.960 4.915
0.0048313 -0.50000 10.07918 0.7404903769 2.3959739492    0.740 -0.293  3.7452  4.533    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.17e-15      0.00 7.909e-01 2.051e-01 7.171e-04 1.958e-04 1.781e-03 -1.000 4.046e-03 5.501 6.284 6.009 5.640 5.413 5.232 4.867 4.824
0.0048313 -0.50000 10.07918 0.7487857342 2.3993953806    0.748 -0.258  3.7494  4.520    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -4.23e-14      0.00 7.921e-01 2.039e-01 7.121e-04 1.949e-04 1.773e-03 -1.000 4.026e-03 5.414 6.172 5.903 5.542 5.321 5.144 4.786 4.744
0.0048313 -0.50000 10.07918 0.7614312768 2.4044464598    0.761 -0.204  3.7550  4.495    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.57e-14      0.00 7.946e-01 2.014e-01 7.049e-04 1.930e-04 1.756e-03 -1.000 3.986e-03 5.279 6.006 5.747 5.395 5.181 5.009 4.659 4.618
0.0048313 -0.50000 10.07918 0.7740053535 2.4092812574    0.773 -0.148  3.7602  4.467    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1  -3.8e-14      0.00 7.972e-01 1.989e-01 6.976e-04 1.910e-04 1.738e-03 -1.000 3.938e-03 5.141 5.839 5.588 5.246 5.039 4.871 4.529 4.490
0.0048313 -0.50000 10.07918 0.7855273485 2.4135555974    0.785 -0.096  3.7647  4.439    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -7.42e-16      0.00 7.996e-01 1.965e-01 6.908e-04 1.892e-04 1.722e-03 -1.000 3.942e-03 5.009 5.683 5.440 5.107 4.906 4.742 4.407 4.369
0.0048313 -0.50000 10.07918 0.7960668206 2.4173410982    0.795 -0.046  3.7685  4.410    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.47e-14      0.00 8.018e-01 1.943e-01 6.844e-04 1.874e-04 1.707e-03 -1.000 3.907e-03 4.884 5.537 5.301 4.976 4.779 4.618 4.289 4.252
0.0048313 -0.50000 10.07918 0.7975714207 2.4178721341    0.797 -0.038  3.7691  4.406    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -8.04e-14      0.00 8.021e-01 1.940e-01 6.835e-04 1.872e-04 1.705e-03 -1.000 3.905e-03 4.866 5.515 5.281 4.956 4.760 4.600 4.272 4.235
0.0048313 -0.50000 10.07918 0.8020785451 2.4194491831    0.801 -0.016  3.7705  4.392    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -8.58e-14      0.00 8.034e-01 1.927e-01 6.800e-04 1.863e-04 1.696e-03 -1.000 3.887e-03 4.810 5.451 5.219 4.898 4.704 4.545 4.219 4.183
0.0048313 -0.50000 10.07918 0.8098648190 2.4221261113    0.809  0.024  3.7729  4.365    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.37e-14      0.00 8.056e-01 1.906e-01 6.738e-04 1.846e-04 1.681e-03 -1.000 3.830e-03 4.710 5.338 5.111 4.795 4.603 4.446 4.125 4.089
0.0048313 -0.50000 10.07918 0.8173079491 2.4246303077    0.816  0.063  3.7749  4.338    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -3.56e-14      0.00 8.077e-01 1.885e-01 6.678e-04 1.830e-04 1.667e-03 -1.000 3.788e-03 4.613 5.230 5.007 4.694 4.505 4.350 4.032 3.997
0.0048313 -0.50000 10.07918 0.8244414926 2.4269816106    0.823  0.101  3.7765  4.311    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -5.25e-14      0.00 8.097e-01 1.866e-01 6.623e-04 1.815e-04 1.654e-03 -1.000 3.748e-03 4.518 5.126 4.906 4.597 4.410 4.256 3.941 3.906
0.0048313 -0.50000 10.07918 0.8344485760 2.4302022769    0.833  0.157  3.7781  4.266    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -9.18e-14      0.00 8.110e-01 1.853e-01 6.587e-04 1.806e-04 1.645e-03 -1.000 3.727e-03 4.378 4.976 4.760 4.455 4.270 4.118 3.805 3.770
0.0048313 -0.50000 10.07918 0.8378937840 2.4312906268    0.837  0.177  3.7786  4.250    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -5.04e-15      0.00 8.111e-01 1.851e-01 6.586e-04 1.805e-04 1.645e-03 -1.000 3.746e-03 4.328 4.923 4.707 4.404 4.220 4.068 3.756 3.721
0.0048313 -0.50000 10.07918 0.8459762931 2.4338039471    0.845  0.228  3.7786  4.203    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.56e-13      0.00 8.108e-01 1.854e-01 6.602e-04 1.810e-04 1.649e-03 -1.000 3.746e-03 4.200 4.794 4.579 4.276 4.092 3.940 3.629 3.594
0.0048313 -0.50000 10.07918 0.8463571072 2.4339210032    0.845  0.230  3.7785  4.201    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-13      0.00 8.108e-01 1.855e-01 6.603e-04 1.810e-04 1.650e-03 -1.000 3.746e-03 4.194 4.788 4.573 4.270 4.086 3.934 3.622 3.588
0.0048313 -0.50000 10.07918 0.8493685722 2.4348424291    0.848  0.250  3.7783  4.181    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-13      0.00 8.108e-01 1.855e-01 6.608e-04 1.811e-04 1.651e-03 -1.000 3.742e-03 4.145 4.739 4.524 4.221 4.037 3.885 3.573 3.538
0.0048313 -0.50000 10.07918 0.8568487167 2.4370989548    0.855  0.303  3.7762  4.124    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.35e-13      0.00 8.092e-01 1.870e-01 6.680e-04 1.831e-04 1.669e-03 -1.000 3.778e-03 4.012 4.616 4.398 4.091 3.905 3.752 3.437 3.402
0.0048313 -0.50000 10.07918 0.8581155539 2.4374766427    0.857  0.312  3.7757  4.113    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.44e-13      0.00 8.086e-01 1.876e-01 6.705e-04 1.838e-04 1.676e-03 -1.000 3.781e-03 3.989 4.595 4.376 4.068 3.882 3.728 3.413 3.378
0.0048313 -0.50000 10.07918 0.8632459641 2.4389931688    0.862  0.353  3.7713  4.058    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1  -2.8e-13      0.00 8.012e-01 1.948e-01 6.963e-04 1.909e-04 1.740e-03 -1.000 3.939e-03 3.888 4.514 4.289 3.973 3.782 3.626 3.303 3.267
0.0048313 -0.50000 10.07918 0.8680129051 2.4403837938    0.866  0.391  3.7636  3.991    2  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -6.98e-14      0.00 7.874e-01 2.084e-01 7.387e-04 2.025e-04 1.845e-03 -1.000 4.203e-03 3.792 4.458 4.220 3.891 3.691 3.529 3.195 3.156
0.0048313 -0.50000 10.07918 0.8711159229 2.4412796158    0.869  0.414  3.7539  3.931    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -9.05e-14      0.00 7.747e-01 2.209e-01 7.742e-04 2.120e-04 1.930e-03 -1.000 4.371e-03 3.735 4.454 4.199 3.853 3.642 3.473 3.123 3.082
0.0048313 -0.50000 10.07918 0.8730815649 2.4418432973    0.871  0.427  3.7440  3.879    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.11e-13      0.00 7.664e-01 2.291e-01 7.962e-04 2.179e-04 1.982e-03 -1.000 4.479e-03 3.702 4.476 4.206 3.843 3.620 3.443 3.078 3.034
0.0048313 -0.50000 10.07918 0.8747730851 2.4423260383    0.873  0.444  3.7333  3.820    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-13      0.00 7.600e-01 2.354e-01 8.130e-04 2.223e-04 2.022e-03 -1.000 4.584e-03 3.660 4.500 4.212 3.830 3.595 3.409 3.027 2.979
0.0048313 -0.50000 10.07918 0.8761159182 2.4427077419    0.874  0.471  3.7248  3.760    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.67e-13      0.00 7.556e-01 2.398e-01 8.239e-04 2.253e-04 2.048e-03 -1.000 4.664e-03 3.591 4.486 4.184 3.787 3.541 3.349 2.953 2.903
0.0048313 -0.50000 10.07918 0.8772159219 2.4430194195    0.875  0.508  3.7192  3.701    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.07e-13      0.00 7.522e-01 2.431e-01 8.316e-04 2.273e-04 2.066e-03 -1.000 4.703e-03 3.500 4.432 4.121 3.714 3.462 3.265 2.860 2.808
0.0048313 -0.50000 10.07918 0.8777511120 2.4431707367    0.876  0.530  3.7169  3.670    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.33e-13      0.00 7.506e-01 2.447e-01 8.349e-04 2.282e-04 2.074e-03 -1.000 4.715e-03 3.446 4.393 4.079 3.668 3.413 3.214 2.806 2.753
0.0048313 -0.50000 10.07918 0.8783982992 2.4433534362    0.876  0.561  3.7147  3.630    3  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.72e-13      0.00 7.487e-01 2.466e-01 8.382e-04 2.291e-04 2.082e-03 -1.000 4.726e-03 3.367 4.329 4.012 3.596 3.339 3.138 2.726 2.673
0.0048313 -0.50000 10.07918 0.8792015314 2.4435797567    0.877  0.605  3.7123  3.578    3  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.32e-13      0.00 7.462e-01 2.490e-01 8.419e-04 2.301e-04 2.091e-03 -1.000 4.771e-03 3.259 4.237 3.916 3.496 3.236 3.034 2.618 2.564
0.0048313 -0.50000 10.07918 0.8798877597 2.4437727336    0.878  0.646  3.7107  3.530    3  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.01e-13      0.00 7.440e-01 2.512e-01 8.442e-04 2.309e-04 2.097e-03 -1.000 4.765e-03 3.155 4.144 3.820 3.398 3.136 2.934 2.514 2.460
0.0048313 -0.50000 10.07918 0.8805532455 2.4439595471    0.878  0.689  3.7092  3.481    3  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -4.86e-13      0.00 7.417e-01 2.535e-01 8.451e-04 2.319e-04 2.103e-03 -1.000 4.764e-03 3.047 4.046 3.720 3.296 3.032 2.828 2.407 2.351
0.0048313 -0.50000 10.07918 0.8811225295 2.4441190975    0.879  0.729  3.7080  3.437    3  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -5.79e-13      0.00 7.397e-01 2.556e-01 8.443e-04 2.333e-04 2.107e-03 -1.000 4.783e-03 2.947 3.956 3.628 3.201 2.935 2.731 2.307 2.251
0.0048313 -0.50000 10.07918 0.8816779256 2.4442745273    0.879  0.771  3.7069  3.390    3  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -6.94e-13      0.00 7.376e-01 2.576e-01 8.405e-04 2.366e-04 2.111e-03 -1.000 4.783e-03 2.841 3.859 3.529 3.100 2.833 2.628 2.202 2.146
