# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Tue Feb 11 16:21:13 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: HST/ACS WFC - updated filters and zeropoints, 2021
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
 Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.0054091 -0.45000 10.07918 0.0900000036 1.0816895926    0.090 -3.334  3.4018  5.285    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.42e-17      0.00 7.345e-01 2.600e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.489e-03 13.105 19.856 18.696 17.866 16.888 16.565 13.570 13.129
0.0054091 -0.45000 10.07918 0.1000000015 1.1711064122    0.100 -3.126  3.4319  5.243    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.12e-17      0.00 7.338e-01 2.607e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.489e-03 12.584 18.731 17.676 16.836 15.932 15.605 12.882 12.489
0.0054091 -0.45000 10.07918 0.1180880964 1.3065827665    0.118 -2.883  3.4609  5.189    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-16      0.00 7.325e-01 2.620e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.489e-03 11.978 17.083 16.193 15.350 14.574 14.245 11.986 11.673
0.0054091 -0.45000 10.07918 0.1199999973 1.3193154249    0.120 -2.860  3.4637  5.184    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.28e-16      0.00 7.324e-01 2.621e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.489e-03 11.920 16.933 16.057 15.212 14.447 14.118 11.904 11.598
0.0054091 -0.45000 10.07918 0.1400000006 1.4384526719    0.140 -2.674  3.4833  5.143    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.86e-16      0.00 7.312e-01 2.633e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.489e-03 11.455 15.857 15.068 14.211 13.517 13.183 11.282 11.022
0.0054091 -0.45000 10.07918 0.1599999964 1.5372931554    0.160 -2.531  3.4965  5.111    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.58e-16      0.00 7.301e-01 2.644e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.489e-03 11.097 15.130 14.389 13.528 12.871 12.534 10.835 10.602
0.0054091 -0.45000 10.07918 0.1999999881 1.6938790356    0.200 -2.306  3.5145  5.055    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.12e-16      0.00 7.286e-01 2.659e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.489e-03 10.536 14.140 13.453 12.598 11.982 11.642 10.177 9.975
0.0054091 -0.45000 10.07918 0.2500000000 1.8403257998    0.250 -2.094  3.5288  4.997    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.72e-18      0.00 7.277e-01 2.668e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.489e-03 10.004 13.314 12.665 11.826 11.234 10.894 9.584 9.403
0.0054091 -0.45000 10.07918 0.3000000119 1.9529139769    0.300 -1.931  3.5385  4.952    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.6e-17      0.00 7.277e-01 2.668e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.489e-03 9.597 12.735 12.110 11.285 10.707 10.367 9.144 8.974
0.0054091 -0.45000 10.07918 0.3499999642 2.0434174156    0.350 -1.789  3.5468  4.910    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.78e-20      0.00 7.360e-01 2.586e-01 9.870e-04 2.663e-04 2.415e-03 -1.000 5.489e-03 9.242 12.244 11.637 10.825 10.256 9.918 8.764 8.603
