F814W F606W F435W F336W F275W source
19.5000 20.3826 21.7230 22.5073 25.0779 test_stars
19.0000 19.7576 20.8966 21.3260 23.5535 test_stars
18.5000 19.1648 20.1414 20.2540 21.9633 test_stars
18.0000 18.5927 19.4358 19.3551 20.7060 test_stars
17.5000 18.0533 18.8103 18.6448 19.7132 test_stars
17.0000 17.5349 18.2610 18.0684 19.0700 test_stars
16.7500 17.2905 18.0209 17.8631 18.8654 test_stars
16.5000 17.0687 17.8663 17.7906 18.8633 test_stars
16.3500 16.9772 17.8608 17.9633 19.2771 test_stars
16.0000 16.6764 17.6788 17.9198 19.5588 test_stars
15.5000 16.2005 17.2369 17.5239 19.2602 test_stars
15.0000 15.7099 16.7797 17.1372 18.9023 test_stars
14.5000 15.2327 16.3343 16.7795 18.6314 test_stars
14.0000 14.7533 15.9051 16.4302 18.4515 test_stars
13.5000 14.2766 15.4969 16.1349 18.3018 test_stars
13.0000 13.8076 15.0902 15.8800 18.2103 test_stars
12.5000 13.3640 14.7510 15.7359 18.4206 test_stars
12.0000 12.9152 14.4318 15.6264 18.5014 test_stars
11.5000 12.4725 14.0987 15.5233 18.6595 test_stars
11.0000 12.0538 13.8674 15.5896 18.7700 test_stars
10.5000 11.6604 13.6240 15.7225 18.8621 test_stars
10.0000 11.3560 13.4752 15.8408 18.9802 test_stars
13.1600 13.8212 14.7671 15.1880 16.6050 HB_test_stars
13.1400 13.8457 14.8260 15.2800 16.9420 HB_test_stars
13.1200 13.8517 14.9268 15.3820 17.2590 HB_test_stars
