# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Tue Feb 25 10:06:29 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: HST/ACS WFC - updated filters and zeropoints, 2021
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
 Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.0060543 -0.40000 9.29003 0.0899999961 1.0816895212    0.090 -3.346  3.3971  5.278    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.35e-17      0.00 7.345e-01 2.594e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 13.134 19.878 18.733 17.911 16.936 16.616 13.629 13.187
0.0060543 -0.40000 9.29003 0.0911048725 1.0921900536    0.091 -3.322  3.4005  5.274    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.58e-17      0.00 7.345e-01 2.594e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 13.075 19.815 18.671 17.850 16.876 16.556 13.571 13.128
0.0060543 -0.40000 9.29003 0.0933200493 1.1127524091    0.093 -3.276  3.4074  5.265    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.09e-17      0.00 7.345e-01 2.594e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 12.959 19.691 18.550 17.729 16.756 16.437 13.454 13.012
0.0060543 -0.40000 9.29003 0.0992661342 1.1649467677    0.099 -3.155  3.4250  5.241    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.7e-17      0.00 7.344e-01 2.595e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 12.657 19.066 17.980 17.153 16.219 15.897 13.060 12.644
0.0060543 -0.40000 9.29003 0.1177984104 1.3046301697    0.118 -2.905  3.4552  5.186    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.16e-16      0.00 7.343e-01 2.596e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 12.033 17.322 16.414 15.585 14.791 14.467 12.112 11.784
0.0060543 -0.40000 9.29003 0.1363306940 1.4183171436    0.136 -2.725  3.4746  5.147    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.71e-16      0.00 7.341e-01 2.598e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 11.583 16.237 15.419 14.579 13.859 13.531 11.490 11.210
0.0060543 -0.40000 9.29003 0.1548629701 1.5135022991    0.155 -2.586  3.4880  5.117    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.29e-16      0.00 7.339e-01 2.600e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 11.235 15.486 14.721 13.872 13.194 12.861 11.038 10.788
0.0060543 -0.40000 9.29003 0.1919275075 1.6657516018    0.191 -2.377  3.5058  5.072    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.51e-16      0.00 7.337e-01 2.603e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 10.714 14.511 13.804 12.955 12.324 11.988 10.407 10.190
0.0060543 -0.40000 9.29003 0.2320672721 1.7925613453    0.231 -2.205  3.5191  5.035    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.96e-16      0.00 7.334e-01 2.605e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 10.282 13.786 13.112 12.269 11.662 11.323 9.908 9.713
0.0060543 -0.40000 9.29003 0.2382582128 1.8095780244    0.237 -2.181  3.5209  5.030    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.2e-16      0.00 7.333e-01 2.606e-01 1.090e-03 2.941e-04 2.668e-03 -1.000 6.063e-03 10.222 13.688 13.020 12.178 11.574 11.235 9.840 9.647
