primary secondary F275W F336W
21 0 -7.4556 -10.1469
21 1 -7.5175 -10.1858
21 2 -7.5650 -10.1814
21 3 -7.6254 -10.1045
21 4 -7.6356 -10.0519
21 5 -7.6429 -9.9331
21 6 -7.6147 -9.8241
21 7 -7.5588 -9.7154
21 8 -7.4986 -9.6163
21 9 -7.4416 -9.5323
21 10 -7.4028 -9.4658
21 11 -7.5129 -9.5158
21 12 -7.6455 -9.5184
21 13 -7.5833 -9.4586
21 14 -7.4735 -9.4038
21 15 -7.3876 -9.3678
21 16 -7.3296 -9.3449
21 17 -7.2914 -9.3308
21 18 -7.2666 -9.3225
21 19 -7.2506 -9.3175
21 20 -7.2404 -9.3146
21 21 -7.9754 -10.0631
21 22 -7.8662 -9.9980
21 23 -7.7534 -9.9316
22 0 -7.2735 -10.0868
22 1 -7.3464 -10.1279
22 2 -7.4017 -10.1233
22 3 -7.4716 -10.0419
22 4 -7.4834 -9.9861
22 5 -7.4917 -9.8594
22 6 -7.4593 -9.7424
22 7 -7.3945 -9.6247
22 8 -7.3242 -9.5165
22 9 -7.2570 -9.4241
22 10 -7.2108 -9.3504
22 11 -7.3409 -9.4058
22 12 -7.4948 -9.4087
22 13 -7.4229 -9.3424
22 14 -7.2946 -9.2812
22 15 -7.1926 -9.2409
22 16 -7.1228 -9.2150
22 17 -7.0764 -9.1991
22 18 -7.0461 -9.1897
22 19 -7.0265 -9.1842
22 20 -7.0140 -9.1809
22 21 -7.8662 -9.9980
22 22 -7.7448 -9.9288
22 23 -7.6178 -9.8578
23 0 -7.0707 -10.0258
23 1 -7.1580 -10.0691
23 2 -7.2235 -10.0643
23 3 -7.3054 -9.9782
23 4 -7.3192 -9.9189
23 5 -7.3289 -9.7836
23 6 -7.2910 -9.6576
23 7 -7.2150 -9.5297
23 8 -7.1316 -9.4111
23 9 -7.0508 -9.3089
23 10 -6.9948 -9.2266
23 11 -7.1516 -9.2885
23 12 -7.3324 -9.2917
23 13 -7.2485 -9.2176
23 14 -7.0962 -9.1487
23 15 -6.9725 -9.1030
23 16 -6.8865 -9.0736
23 17 -6.8285 -9.0555
23 18 -6.7902 -9.0448
23 19 -6.7653 -9.0384
23 20 -6.7494 -9.0346
23 21 -7.7534 -9.9316
23 22 -7.6178 -9.8578
23 23 -7.4741 -9.7819
