primary secondary F555W F814W
21 0 -15.1865 -16.5759
21 1 -14.8531 -16.1180
21 2 -14.5218 -15.6815
21 3 -14.2132 -15.2751
21 4 -13.9163 -14.9087
21 5 -13.6483 -14.5916
21 6 -13.4187 -14.3302
21 7 -13.2372 -14.1255
21 8 -13.0982 -13.9732
21 9 -12.9967 -13.8648
21 10 -12.9249 -13.7904
21 11 -12.9098 -13.7581
21 12 -12.9070 -13.7407
21 13 -12.8657 -13.7081
21 14 -12.8347 -13.6870
21 15 -12.8145 -13.6735
21 16 -12.8020 -13.6649
21 17 -12.7943 -13.6594
21 18 -12.7897 -13.6560
21 19 -12.7869 -13.6538
21 20 -12.7852 -13.6524
21 21 -13.5357 -14.4026
21 22 -13.5010 -14.3779
21 23 -13.4655 -14.3537
22 0 -15.1790 -16.5726
22 1 -14.8430 -16.1130
22 2 -14.5079 -15.6740
22 3 -14.1948 -15.2641
22 4 -13.8920 -14.8933
22 5 -13.6171 -14.5709
22 6 -13.3801 -14.3037
22 7 -13.1914 -14.0935
22 8 -13.0460 -13.9363
22 9 -12.9392 -13.8240
22 10 -12.8633 -13.7466
22 11 -12.8474 -13.7130
22 12 -12.8444 -13.6948
22 13 -12.8006 -13.6607
22 14 -12.7677 -13.6387
22 15 -12.7461 -13.6246
22 16 -12.7329 -13.6156
22 17 -12.7246 -13.6099
22 18 -12.7197 -13.6062
22 19 -12.7167 -13.6039
22 20 -12.7150 -13.6025
22 21 -13.5010 -14.3779
22 22 -13.4653 -14.3526
22 23 -13.4286 -14.3279
23 0 -15.1715 -16.5695
23 1 -14.8328 -16.1081
23 2 -14.4940 -15.6667
23 3 -14.1762 -15.2535
23 4 -13.8674 -14.8783
23 5 -13.5853 -14.5507
23 6 -13.3403 -14.2779
23 7 -13.1439 -14.0620
23 8 -12.9916 -13.8998
23 9 -12.8790 -13.7835
23 10 -12.7986 -13.7030
23 11 -12.7816 -13.6680
23 12 -12.7785 -13.6490
23 13 -12.7319 -13.6135
23 14 -12.6968 -13.5905
23 15 -12.6738 -13.5757
23 16 -12.6596 -13.5663
23 17 -12.6508 -13.5603
23 18 -12.6455 -13.5565
23 19 -12.6423 -13.5541
23 20 -12.6405 -13.5526
23 21 -13.4655 -14.3537
23 22 -13.4286 -14.3279
23 23 -13.3906 -14.3026
