primary secondary F555W F814W
10 0 -15.0792 -16.5108
10 1 -14.7046 -16.0171
10 2 -14.3149 -15.5269
10 3 -13.9287 -15.0424
10 4 -13.5244 -14.5664
10 5 -13.1154 -14.1035
10 6 -12.7104 -13.6597
10 7 -12.3299 -13.2433
10 8 -11.9777 -12.8639
10 9 -11.6645 -12.5311
10 10 -11.3971 -12.2526
10 11 -11.3340 -12.1129
10 12 -11.3219 -12.0311
10 13 -11.1320 -11.8639
10 14 -10.9695 -11.7433
10 15 -10.8516 -11.6597
10 16 -10.7734 -11.6035
10 17 -10.7221 -11.5664
10 18 -10.6908 -11.5424
10 19 -10.6712 -11.5269
10 20 -10.6598 -11.5171
10 21 -12.9249 -13.7904
10 22 -12.8633 -13.7466
10 23 -12.7986 -13.7030
11 0 -15.0772 -16.5082
11 1 -14.7017 -16.0130
11 2 -14.3107 -15.5205
11 3 -13.9228 -15.0323
11 4 -13.5157 -14.5508
11 5 -13.1027 -14.0794
11 6 -12.6919 -13.6233
11 7 -12.3037 -13.1894
11 8 -11.9412 -12.7865
11 9 -11.6155 -12.4246
11 10 -11.3340 -12.1129
11 11 -11.2671 -11.9526
11 12 -11.2542 -11.8572
11 13 -11.0508 -11.6580
11 14 -10.8746 -11.5106
11 15 -10.7454 -11.4060
11 16 -10.6587 -11.3344
11 17 -10.6016 -11.2867
11 18 -10.5665 -11.2555
11 19 -10.5445 -11.2354
11 20 -10.5317 -11.2225
11 21 -12.9098 -13.7581
11 22 -12.8474 -13.7130
11 23 -12.7816 -13.6680
12 0 -15.0768 -16.5068
12 1 -14.7012 -16.0108
12 2 -14.3099 -15.5171
12 3 -13.9217 -15.0269
12 4 -13.5141 -14.5424
12 5 -13.1004 -14.0664
12 6 -12.6885 -13.6035
12 7 -12.2987 -13.1597
12 8 -11.9343 -12.7433
12 9 -11.6062 -12.3639
12 10 -11.3219 -12.0311
12 11 -11.2542 -11.8572
12 12 -11.2412 -11.7526
12 13 -11.0351 -11.5311
12 14 -10.8561 -11.3639
12 15 -10.7245 -11.2433
12 16 -10.6361 -11.1597
12 17 -10.5777 -11.1035
12 18 -10.5419 -11.0664
12 19 -10.5193 -11.0424
12 20 -10.5062 -11.0269
12 21 -12.9070 -13.7407
12 22 -12.8444 -13.6948
12 23 -12.7785 -13.6490
13 0 -15.0713 -16.5043
13 1 -14.6934 -16.0068
13 2 -14.2988 -15.5108
13 3 -13.9057 -15.0171
13 4 -13.4907 -14.5269
13 5 -13.0660 -14.0424
13 6 -12.6378 -13.5664
13 7 -12.2255 -13.1035
13 8 -11.8304 -12.6597
13 9 -11.4631 -12.2433
13 10 -11.1320 -11.8639
13 11 -11.0508 -11.6580
13 12 -11.0351 -11.5311
13 13 -10.7806 -11.2526
13 14 -10.5489 -11.0311
13 15 -10.3705 -10.8639
13 16 -10.2460 -10.7433
13 17 -10.1614 -10.6597
13 18 -10.1084 -10.6035
13 19 -10.0746 -10.5664
13 20 -10.0549 -10.5424
13 21 -12.8657 -13.7081
13 22 -12.8006 -13.6607
13 23 -12.7319 -13.6135
14 0 -15.0673 -16.5027
14 1 -14.6877 -16.0043
14 2 -14.2906 -15.5068
14 3 -13.8939 -15.0108
14 4 -13.4734 -14.5171
14 5 -13.0402 -14.0269
14 6 -12.5995 -13.5424
14 7 -12.1689 -13.0664
14 8 -11.7480 -12.6035
14 9 -11.3457 -12.1597
14 10 -10.9695 -11.7433
14 11 -10.8746 -11.5106
14 12 -10.8561 -11.3639
14 13 -10.5489 -11.0311
14 14 -10.2540 -10.7526
14 15 -10.0133 -10.5311
14 16 -9.8362 -10.3639
14 17 -9.7105 -10.2433
14 18 -9.6291 -10.1597
14 19 -9.5761 -10.1035
14 20 -9.5447 -10.0664
14 21 -12.8347 -13.6870
14 22 -12.7677 -13.6387
14 23 -12.6968 -13.5905
15 0 -15.0647 -16.5017
15 1 -14.6840 -16.0027
15 2 -14.2853 -15.5043
15 3 -13.8863 -15.0068
15 4 -13.4622 -14.5108
15 5 -13.0235 -14.0171
15 6 -12.5743 -13.5269
15 7 -12.1312 -13.0424
15 8 -11.6920 -12.5664
15 9 -11.2637 -12.1035
15 10 -10.8516 -11.6597
15 11 -10.7454 -11.4060
15 12 -10.7245 -11.2433
15 13 -10.3705 -10.8639
15 14 -10.0133 -10.5311
15 15 -9.7037 -10.2526
15 16 -9.4611 -10.0311
15 17 -9.2789 -9.8639
15 18 -9.1555 -9.7433
15 19 -9.0725 -9.6597
15 20 -9.0220 -9.6035
15 21 -12.8145 -13.6735
15 22 -12.7461 -13.6246
15 23 -12.6738 -13.5757
16 0 -15.0631 -16.5011
16 1 -14.6818 -16.0017
16 2 -14.2821 -15.5027
16 3 -13.8817 -15.0043
16 4 -13.4553 -14.5068
16 5 -13.0133 -14.0108
16 6 -12.5587 -13.5171
16 7 -12.1078 -13.0269
16 8 -11.6567 -12.5424
16 9 -11.2107 -12.0664
16 10 -10.7734 -11.6035
16 11 -10.6587 -11.3344
16 12 -10.6361 -11.1597
16 13 -10.2460 -10.7433
16 14 -9.8362 -10.3639
16 15 -9.4611 -10.0311
16 16 -9.1483 -9.7526
16 17 -8.8978 -9.5311
16 18 -8.7179 -9.3639
16 19 -8.5912 -9.2433
16 20 -8.5116 -9.1597
16 21 -12.8020 -13.6649
16 22 -12.7329 -13.6156
16 23 -12.6596 -13.5663
17 0 -15.0622 -16.5007
17 1 -14.6805 -16.0011
17 2 -14.2801 -15.5017
17 3 -13.8788 -15.0027
17 4 -13.4511 -14.5043
17 5 -13.0069 -14.0068
17 6 -12.5490 -13.5108
17 7 -12.0930 -13.0171
17 8 -11.6342 -12.5269
17 9 -11.1767 -12.0424
17 10 -10.7221 -11.5664
17 11 -10.6016 -11.2867
17 12 -10.5777 -11.1035
17 13 -10.1614 -10.6597
17 14 -9.7105 -10.2433
17 15 -9.2789 -9.8639
17 16 -8.8978 -9.5311
17 17 -8.5716 -9.2526
17 18 -8.3209 -9.0311
17 19 -8.1332 -8.8639
17 20 -8.0093 -8.7433
17 21 -12.7943 -13.6594
17 22 -12.7246 -13.6099
17 23 -12.6508 -13.5603
18 0 -15.0616 -16.5004
18 1 -14.6797 -16.0007
18 2 -14.2790 -15.5011
18 3 -13.8771 -15.0017
18 4 -13.4486 -14.5027
18 5 -13.0031 -14.0043
18 6 -12.5433 -13.5068
18 7 -12.0842 -13.0108
18 8 -11.6208 -12.5171
18 9 -11.1562 -12.0269
18 10 -10.6908 -11.5424
18 11 -10.5665 -11.2555
18 12 -10.5419 -11.0664
18 13 -10.1084 -10.6035
18 14 -9.6291 -10.1597
18 15 -9.1555 -9.7433
18 16 -8.7179 -9.3639
18 17 -8.3209 -9.0311
18 18 -7.9945 -8.7526
18 19 -7.7323 -8.5311
18 20 -7.5482 -8.3639
18 21 -12.7897 -13.6560
18 22 -12.7197 -13.6062
18 23 -12.6455 -13.5565
19 0 -15.0613 -16.5003
19 1 -14.6792 -16.0004
19 2 -14.2783 -15.5007
19 3 -13.8761 -15.0011
19 4 -13.4470 -14.5017
19 5 -13.0008 -14.0027
19 6 -12.5397 -13.5043
19 7 -12.0788 -13.0068
19 8 -11.6125 -12.5108
19 9 -11.1435 -12.0171
19 10 -10.6712 -11.5269
19 11 -10.5445 -11.2354
19 12 -10.5193 -11.0424
19 13 -10.0746 -10.5664
19 14 -9.5761 -10.1035
19 15 -9.0725 -9.6597
19 16 -8.5912 -9.2433
19 17 -8.1332 -8.8639
19 18 -7.7323 -8.5311
19 19 -7.3861 -8.2526
19 20 -7.1238 -8.0311
19 21 -12.7869 -13.6538
19 22 -12.7167 -13.6039
19 23 -12.6423 -13.5541
20 0 -15.0611 -16.5002
20 1 -14.6789 -16.0003
20 2 -14.2778 -15.5004
20 3 -13.8755 -15.0007
20 4 -13.4462 -14.5011
20 5 -12.9995 -14.0017
20 6 -12.5377 -13.5027
20 7 -12.0757 -13.0043
20 8 -11.6078 -12.5068
20 9 -11.1361 -12.0108
20 10 -10.6598 -11.5171
20 11 -10.5317 -11.2225
20 12 -10.5062 -11.0269
20 13 -10.0549 -10.5424
20 14 -9.5447 -10.0664
20 15 -9.0220 -9.6035
20 16 -8.5116 -9.1597
20 17 -8.0093 -8.7433
20 18 -7.5482 -8.3639
20 19 -7.1238 -8.0311
20 20 -6.7774 -7.7526
20 21 -12.7852 -13.6524
20 22 -12.7150 -13.6025
20 23 -12.6405 -13.5526
