# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Tue Feb 11 09:41:11 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: HST/ACS WFC - updated filters and zeropoints, 2021
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
 Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.0030686 -0.70000 9.62325 0.0900000036 1.0816895926    0.090 -3.290  3.4214  5.320    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.71e-17      0.00 7.416e-01 2.552e-01 5.817e-04 1.569e-04 1.423e-03 -1.000 3.235e-03 12.995 19.624 18.420 17.540 16.565 16.224 13.268 12.845
0.0030686 -0.70000 9.62325 0.0912906602 1.0939394870    0.091 -3.261  3.4255  5.313    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.04e-17      0.00 7.416e-01 2.552e-01 5.817e-04 1.569e-04 1.423e-03 -1.000 3.235e-03 12.921 19.384 18.212 17.329 16.374 16.032 13.155 12.745
0.0030686 -0.70000 9.62325 0.0996865481 1.1684826845    0.100 -3.080  3.4509  5.272    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.68e-17      0.00 7.413e-01 2.554e-01 5.817e-04 1.569e-04 1.423e-03 -1.000 3.235e-03 12.469 17.991 16.992 16.108 15.270 14.929 12.475 12.136
0.0030686 -0.70000 9.62325 0.1026238278 1.1926576601    0.103 -3.036  3.4562  5.261    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.47e-17      0.00 7.412e-01 2.555e-01 5.817e-04 1.569e-04 1.423e-03 -1.000 3.235e-03 12.359 17.691 16.724 15.834 15.019 14.677 12.321 11.998
0.0030686 -0.70000 9.62325 0.1190596223 1.3130860414    0.119 -2.811  3.4835  5.210    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.4e-16      0.00 7.408e-01 2.560e-01 5.817e-04 1.569e-04 1.423e-03 -1.000 3.235e-03 11.798 16.243 15.421 14.507 13.800 13.453 11.563 11.306
0.0030686 -0.70000 9.62325 0.1307318360 1.3861955950    0.131 -2.697  3.4953  5.184    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-16      0.00 7.405e-01 2.563e-01 5.817e-04 1.569e-04 1.423e-03 -1.000 3.235e-03 11.512 15.620 14.849 13.932 13.260 12.912 11.208 10.976
0.0030686 -0.70000 9.62325 0.1384327114 1.4299370102    0.138 -2.627  3.5026  5.168    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.08e-16      0.00 7.403e-01 2.565e-01 5.817e-04 1.569e-04 1.423e-03 -1.000 3.235e-03 11.338 15.254 14.510 13.596 12.944 12.595 10.996 10.777
0.0030686 -0.70000 9.62325 0.1578058004 1.5272545334    0.158 -2.487  3.5153  5.136    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.79e-16      0.00 7.399e-01 2.569e-01 5.817e-04 1.569e-04 1.423e-03 -1.000 3.235e-03 10.987 14.594 13.893 12.990 12.364 12.013 10.586 10.389
0.0030686 -0.70000 9.62325 0.1965519786 1.6820487999    0.196 -2.275  3.5320  5.086    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.31e-16      0.00 7.392e-01 2.576e-01 5.817e-04 1.569e-04 1.423e-03 -1.000 3.235e-03 10.458 13.709 13.057 12.183 11.584 11.234 9.994 9.821
0.0030686 -0.70000 9.62325 0.2449847013 1.8274270256    0.244 -2.077  3.5450  5.035    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.46e-16      0.00 7.386e-01 2.582e-01 5.817e-04 1.569e-04 1.423e-03 -1.000 3.235e-03 9.962 12.971 12.354 11.509 10.926 10.578 9.460 9.303
